T_over_M,Re_psi4_22,Im_psi4_22
3.900000000000000000e+01,-3.452245323454437766e-03,9.961060591642546466e-03
3.925000000000000000e+01,-2.282524112475432364e-03,1.026356915675491130e-02
3.950000000000000000e+01,-1.090334517323407297e-03,1.042235347879874249e-02
3.975000000000000000e+01,1.059776000555429386e-04,1.043665668343187261e-02
4.000000000000000000e+01,1.288257212195777126e-03,1.030813444673171764e-02
4.025000000000000000e+01,2.438865888328446956e-03,1.004078899447545699e-02
4.050000000000000000e+01,3.540992867414096464e-03,9.640858171202098051e-03
4.075000000000000000e+01,4.578944734364090094e-03,9.116662157490410673e-03
4.100000000000000000e+01,5.538407585026164197e-03,8.478411694258967957e-03
4.125000000000000000e+01,6.406676547238218319e-03,7.737982838815155376e-03
4.150000000000000000e+01,7.172848689328908955e-03,6.908664077645580194e-03
4.175000000000000000e+01,7.827976454466652190e-03,6.004881978111735810e-03
4.200000000000000000e+01,8.365179672969286565e-03,5.041911588496966051e-03
4.225000000000000000e+01,8.779714943424023893e-03,4.035577695169792652e-03
4.250000000000000000e+01,9.069001859909654045e-03,3.001952975424204521e-03
4.275000000000000000e+01,9.232606323820901489e-03,1.957059083085636170e-03
4.300000000000000000e+01,9.272182067169244465e-03,9.165766975815102437e-04
4.325000000000000000e+01,9.191372488976791086e-03,-1.044295630309448775e-04
4.350000000000000000e+01,8.995675869248306866e-03,-1.091765807894512323e-03
4.375000000000000000e+01,8.692277876171159920e-03,-2.032338134533961081e-03
4.400000000000000000e+01,8.289855961776025628e-03,-2.914352255585574234e-03
4.425000000000000000e+01,7.798360739299824325e-03,-3.727480115033426824e-03
4.450000000000000000e+01,7.228779773489488018e-03,-4.462991004836552519e-03
4.475000000000000000e+01,6.592889417672614591e-03,-5.113845579952197920e-03
4.500000000000000000e+01,5.903000408160883825e-03,-5.674752049703410579e-03
4.525000000000000000e+01,5.171702874097294789e-03,-6.142184691099419197e-03
4.550000000000000000e+01,4.411616238222676109e-03,-6.514365666658788329e-03
4.575000000000000000e+01,3.635149183995738196e-03,-6.791211907816637958e-03
4.600000000000000000e+01,2.854274469903648071e-03,-6.974249524519895473e-03
4.625000000000000000e+01,2.080322900949424774e-03,-7.066498819085224176e-03
4.650000000000000000e+01,1.323800223457879781e-03,-7.072333525771791647e-03
4.675000000000000000e+01,5.942300855359972924e-04,-6.997318368227034568e-03
4.700000000000000000e+01,-9.997449887606814323e-05,-6.848029408505595939e-03
4.725000000000000000e+01,-7.516095105040436399e-04,-6.631861925483490371e-03
4.750000000000000000e+01,-1.354747229256165380e-03,-6.356830685048576839e-03
4.775000000000000000e+01,-1.904772379096846468e-03,-6.031367445969430807e-03
4.800000000000000000e+01,-2.398387741352368471e-03,-5.664120396398193702e-03
4.825000000000000000e+01,-2.833590531084251643e-03,-5.263759954925243713e-03
4.850000000000000000e+01,-3.209621420375483297e-03,-4.838795017544420679e-03
4.875000000000000000e+01,-3.526888603380965576e-03,-4.397403314280091784e-03
4.900000000000000000e+01,-3.786869747314454675e-03,-3.947279085141327734e-03
4.925000000000000000e+01,-3.991995086114670001e-03,-3.495500806250684180e-03
4.950000000000000000e+01,-4.145515292685127660e-03,-3.048421172690398816e-03
4.975000000000000000e+01,-4.251358066996503184e-03,-2.611580937147073549e-03
5.000000000000000000e+01,-4.313977523623183097e-03,-2.189647504456692425e-03
5.025000000000000000e+01,-4.338200402073760092e-03,-1.786378447894349138e-03
5.050000000000000000e+01,-4.329072887111031116e-03,-1.404609444726817894e-03
5.075000000000000000e+01,-4.291711521121184536e-03,-1.046265603211681341e-03
5.100000000000000000e+01,-4.231161425272004888e-03,-7.123947641040125761e-04
5.125000000000000000e+01,-4.152264846904434731e-03,-4.032210235947925633e-04
5.150000000000000000e+01,-4.059542841144006195e-03,-1.182163543113465596e-04
5.175000000000000000e+01,-3.957092560758305837e-03,1.438122187041962984e-04
5.200000000000000000e+01,-3.848502112176315718e-03,3.846228273680149653e-04
5.225000000000000000e+01,-3.736784284985063265e-03,6.064295656259769546e-04
5.250000000000000000e+01,-3.624329798622587251e-03,8.117871810505901137e-04
5.275000000000000000e+01,-3.512880148617416026e-03,1.003472852627128884e-03
5.300000000000000000e+01,-3.403519718388366838e-03,1.184368068707338309e-03
5.325000000000000000e+01,-3.296686511459598259e-03,1.357343420209256284e-03
5.350000000000000000e+01,-3.192200572389991380e-03,1.525148950805424669e-03
5.375000000000000000e+01,-3.089308839345177374e-03,1.690312542924610022e-03
5.400000000000000000e+01,-2.986744797189159247e-03,1.855048619242618971e-03
5.425000000000000000e+01,-2.882800919984197796e-03,2.021179161297937364e-03
5.450000000000000000e+01,-2.775411571619503231e-03,2.190068677548555765e-03
5.475000000000000000e+01,-2.662243825182312139e-03,2.362574315912397034e-03
5.500000000000000000e+01,-2.540793581176488403e-03,2.539011855678745613e-03
5.525000000000000000e+01,-2.408484390419768795e-03,2.719137874604626078e-03
5.550000000000000000e+01,-2.262766479985019435e-03,2.902147993664663025e-03
5.575000000000000000e+01,-2.101213606236012124e-03,3.086690755679291718e-03
5.600000000000000000e+01,-1.921615503527528915e-03,3.270896383161978407e-03
5.625000000000000000e+01,-1.722063862831887341e-03,3.452419374942476346e-03
5.650000000000000000e+01,-1.501029968184958716e-03,3.628493639521687339e-03
5.675000000000000000e+01,-1.257432342025297575e-03,3.795998631688228715e-03
5.700000000000000000e+01,-9.906929993324419328e-04,3.951534763551364966e-03
5.725000000000000000e+01,-7.007811809180935873e-04,4.091506203819622600e-03
5.750000000000000000e+01,-3.882437274337403898e-04,4.212209060062100871e-03
5.775000000000000000e+01,-5.422156736320271245e-05,4.309922860366946842e-03
5.800000000000000000e+01,2.995478808189327080e-04,4.381003219349640515e-03
